mRNA	logFC	FDR	Sub-0	Sub-1	Delta
ALB	-0.31071573484934956	0.045200219861207876	2414419.4788135593	2114674.746031746	750198.1225941386
HP	-0.8592271785282583	1.839587679482253e-05	707895.9237288135	390989.31746031746	608243.4172371635
FGA	-0.7206884074329195	9.924484356926259e-07	531360.1610169491	344936.79365079367	382945.10821660474
CYP2E1	-1.5101354258717634	6.885715250208438e-07	160693.16525423728	60683.69841269841	242668.44154588928
C3	-0.4137157936756323	9.751029537006462e-05	497289.6186440678	398969.88095238095	205736.56926398302
SERPINA1	-0.2013285846406174	0.09072519855508773	921067.1186440678	851631.6428571428	185437.1393556218
FGB	-0.5787292253751916	0.0003847740209106336	320271.4915254237	227711.37301587302	185350.4722002657
FTL	0.4302483198617069	0.00029950087181929234	424458.0508474576	589365.0634920635	182622.3632288936
FGG	-0.6050863469950704	8.640081196084429e-05	288403.8940677966	201625.50793650793	174509.25872063628
GLUL	-0.9242683711246595	9.670027177361455e-05	187176.58898305084	102489.42063492064	173001.4010120343
RBP4	-0.648912424869855	1.2760253048722045e-06	242697.88559322033	163585.33333333334	157489.67345108325
CYP3A4	-1.9723935222596751	1.2054748176004314e-07	78813.34745762713	22673.31746031746	155450.9359930248
ADH1B	-1.2436508537825839	1.0444039590841235e-08	105655.17372881356	45878.75396825397	131398.14701438622
SERPINC1	-0.8813932944493433	1.5850292395213098e-06	143452.58050847458	83612.03968253969	126438.14253162406
APOA2	-0.24519398733298128	0.1840918116510409	504355.4830508475	435472.9126984127	123664.93192248915
ALDOB	-0.6424649100299873	0.0019264551170896664	187355.08474576272	125055.53968253969	120369.0676648471
IGF2	-0.7194372001117293	0.05603218036698085	166078.46186440677	109548.65873015873	119483.02360259142
HPD	-1.6891633788954223	8.810368048626676e-11	69638.16101694915	23510.85714285714	117630.2313634533
APOA1	-0.36604926837113244	0.05921203405089851	319550.23728813557	259712.94444444444	116971.13056714379
APOC3	-0.6383068469615194	0.00033890899972236475	181459.43644067796	119091.61904761905	115826.80072586339
AMBP	-0.43044730074118437	0.0005060635427708334	267776.0169491525	211428.0	115263.46369898833
APOC1	-0.5096363301220258	0.00013617396793615962	215999.38983050847	157202.2619047619	110081.13634181715
HPX	-0.9523005762832019	3.742773832254031e-09	114719.48305084746	62762.65873015873	109247.42982023304
VTN	-0.34302925754445657	0.003961674080147841	305127.0	253017.32539682538	104667.4882667674
CFB	-0.44451633864243045	0.0002610360816036788	178531.91101694916	140674.4126984127	79360.35141609043
EPHX1	-0.5857287210023188	3.254046210689728e-05	135195.09322033898	98024.69841269842	79187.6490377384
APOB	-0.3513168129534786	0.004058106704082792	221437.2245762712	190095.12698412698	77794.62000739931
H19	0.6089783395610855	0.06569051185784525	126006.55508474576	233711.42063492062	76735.26268932092
SAA2	-1.912526681059841	6.245772164705417e-08	37893.90677966102	9932.246031746032	72473.10776569608
ITIH4	-0.7259350036949513	2.4133204749318813e-07	98342.84745762713	63108.5	71390.51533252458
FN1	0.3940948747236114	7.389484964960136e-05	173570.7711864407	250196.02380952382	68403.35132640095
SERPINA3	-0.4674960100593498	0.006290634443928009	143917.93644067796	104126.19841269842	67281.06106199205
APOH	-0.3425365527408562	0.023252852551383287	192580.44491525425	160965.99206349207	65965.84172657154
HRG	-0.5670048592946331	0.013855043736818156	109358.57627118644	79605.96031746031	62006.844151305464
KNG1	-0.5717291220067237	0.0003051503254507159	108235.46610169491	76611.78571428571	61881.368004310534
SAA1	-1.3112035213271882	4.6903032122838225e-05	46544.11016949153	18208.920634920636	61028.80115127788
ITIH2	-0.5454296576150383	5.640588377038249e-05	110604.07203389831	83087.04761904762	60326.74114027818
A1BG	-0.793659346237427	4.8947011988609576e-06	73705.09322033898	43796.06349206349	58496.736099622845
C4BPA	-0.9500304787957307	4.786558862910386e-08	60171.32203389831	33486.19047619047	57164.58988163651
GAPDH	0.579224553760691	1.4576045408225232e-10	95713.59745762713	152615.53968253967	55439.66577622449
ORM1	-0.2671942429405701	0.11965730324159898	205097.57627118644	174717.19047619047	54800.891620725495
APOC2	-0.3779482191105401	0.008798204996135501	134669.37288135593	109744.40476190476	50898.04964924174
CRP	-0.47399477086299435	0.1399866302590018	101580.59745762713	75058.84126984127	48148.672016054035
CFH	-0.5127267041943127	2.7287293466358292e-05	89034.65677966102	67697.50793650794	45650.44612970741
CLU	-0.2451566995989213	0.026239947494243805	185925.75	167814.24603174604	45580.943240454144
SQSTM1	0.8057233416984646	4.0108935414448667e-10	54649.25847457627	103256.99206349206	44032.18315947873
ITIH3	-0.5659072517614646	0.00014395146111817136	76749.61016949153	54373.87301587302	43433.160964780705
TTR	-0.4418238045339796	0.02573606670124901	97028.64830508475	74703.38095238095	42869.56654294202
ACTB	0.4035857029445406	9.385761687296834e-09	103786.64830508475	150715.03174603175	41886.80741246544
