row	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	70361.0318525862	-0.5086719669071926	0.1694636110862976	-3.0016589617469953	0.0026851280667729216	0.006637280049535124
A2M	125407.39159905541	-0.3249833904837647	0.15802544356604326	-2.0565257287061183	0.03973186892272713	0.06936967718998453
NAT1	179.7335743031137	0.16020660851234272	0.09470482989985907	1.6916413733253655	0.09071437288335206	0.14046674520188834
NAT2	324.1742923240972	-0.09691930338542068	0.23924420039384342	-0.40510617697679724	0.6853994662297724	0.7493506277022465
SERPINA3	135196.4094236342	-0.44856187313568197	0.16173003924468166	-2.7735223167605367	0.005545303677143432	0.01250548268681059
AADAC	11897.776670197853	-0.5902550579834951	0.15055373636269892	-3.9205606731772633	8.83431895125107e-05	0.00033104196229749404
AAMP	4276.251636424263	-0.11013035233367237	0.0422379796056524	-2.6073773736785086	0.009123874410205263	0.019326543974093845
AARS	7256.630259859654	-0.06617546559579279	0.06449760566964173	-1.0260142978755693	0.3048848446428641	0.3903584930593341
ABAT	12163.578252120973	0.06100180248217945	0.13861818998758704	0.4400706897676418	0.6598859096560619	0.7270929010881252
ABCA1	2929.7537019749298	-0.07528184733711357	0.08972239855133309	-0.8390529962709634	0.40143957095619254	0.48885032953806834
ABCA2	2930.7807166556818	0.1743510536280385	0.09974865795301845	1.7479037533533306	0.08048069482176853	0.12725331648589008
ABCA3	406.9934511283874	-0.29779231785979826	0.16263505049616417	-1.8310463639375316	0.06709362313437367	0.10890739284362148
ABCB7	782.7896312314447	0.09008137730204527	0.059451022979244886	1.5152199707899698	0.12971670722801432	0.19106625662613166
ABCF1	3841.2116133069717	-0.13032396625594617	0.05322191000773866	-2.4486901397750773	0.01433767325515802	0.02868883081943684
ABCA4	75.41940774396645	0.1067321160099337	0.16645720026352256	0.6411985533876781	0.5213936893956574	0.6044773638618657
ABL1	1781.6097628905661	0.1784192101219863	0.0654533893362817	2.7258971908286824	0.006412696913330585	0.01417398265512502
ABP1	94.61504741426823	0.5538652395751406	0.26729385149814366	2.072121137358025	0.038254145561786655	0.06722347962851784
ABL2	927.5194965671216	-0.0839374576918278	0.06459731758833305	-1.2993954056536208	0.19380826757715933	0.26787810014168295
ABR	723.218248789244	0.8551418251468027	0.13627299120912037	6.275211379447364	3.491596072453909e-10	5.683097301317603e-09
ACAA1	11685.527099847162	-0.44141196101856867	0.10683602778014062	-4.1316770212288	3.6012619550471e-05	0.00015176455658323843
ACACA	2128.903569594082	0.04386363302848148	0.08286648081696565	0.5293290193578616	0.5965772281449417	0.6719220039902154
ACACB	3617.7884564958617	0.15605726811227322	0.11467243463101182	1.3608960916756305	0.17354652881674393	0.2441322805013476
ACADL	434.57798868896236	-0.04766077081632344	0.2203310999542855	-0.21631431434877846	0.8287427519575816	0.8693273469595983
ACADM	4392.8560341703915	0.30584929329216737	0.10695684940573064	2.859557802903834	0.004242320972656755	0.009881277173252588
ACADS	3953.4717792522856	-0.12945041051146355	0.10419015647030395	-1.242443767212877	0.2140728758491357	0.29089300547638486
ACADSB	9637.221055132813	-0.2312160147373169	0.11918345710489318	-1.9400009057785934	0.052379579801423576	0.08805611039424328
ACADVL	20584.889426536112	-0.39773568942999504	0.08455120209018768	-4.70408083619846	2.550122018657928e-06	1.4823952858654381e-05
ACAT1	12475.151115786906	-0.10213567709873925	0.10087696922179089	-1.0124776535879159	0.31130972599697443	0.3970058681869407
ACAT2	3405.793415227753	-0.05165800898236785	0.10426030206802052	-0.4954715069659555	0.6202673299664687	0.6927884614662231
ACCN2	140.51420163500904	-0.7924038130340901	0.21372580913530959	-3.7075719410771777	0.00020925598068337282	0.0007073194099676513
ACHE	282.64453737005203	0.1714312278185546	0.217181848927303	0.7893441770814722	0.4299108730763751	0.5171779186370319
ACLY	4186.261628435289	0.1725220979260012	0.0676293511532147	2.550994427480923	0.010741604327563974	0.022295084758749414
ACO1	6678.007133441361	0.01819160818941734	0.09029139669838568	0.20147665065128612	0.8403258851606281	0.8780646196960002
ACO2	6798.807130564982	0.2337163922345217	0.07404614970631106	3.1563611769350612	0.0015975091161101272	0.0041960675954546955
ACOX1	10008.774407253773	-0.033496654777995384	0.09601183384541001	-0.34888048104495967	0.7271790394608826	0.7849443672313492
ACP1	3510.3617886670836	-0.14388091642742223	0.04404483574863089	-3.2666920873213767	0.0010881196022658017	0.0029926805607653896
ACP2	3961.007847622774	-0.07630604195473892	0.06364865746655618	-1.1988633380811446	0.2305810893390697	0.30987584944294944
ACP5	2083.9654854076157	0.11559454353459568	0.1584105459373926	0.7297149495355015	0.46556444119944373	0.551778706253646
ACTA2	5886.224419085839	0.14920359856820467	0.11563800501179583	1.2902643776411131	0.19695888064655867	0.271678115168028
ACTB	114627.2352190764	-0.02919960912607749	0.05601343079571057	-0.5212965660427562	0.6021601928015587	0.6767259094018725
