row	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	70361.0318525862	0.3029603625536062	0.16953331424157966	1.7870255407258608	0.07393336064198831	0.14415940560894633
A2M	125407.39159905541	0.41962508745830474	0.1566825157086008	2.678187068675399	0.007402186400799626	0.022890523685030903
NAT1	179.7335743031137	-0.034172789805786294	0.09445132876519267	-0.3618031662713854	0.7174991258804726	0.8049502434454145
NAT2	324.1742923240972	0.4023437569717877	0.23728769032368027	1.6955947290099926	0.08996265669014394	0.16850884745142924
SERPINA3	135196.4094236342	0.31550562410374927	0.1614895470556429	1.9537216485909057	0.05073414464900763	0.10684693495625773
AADAC	11897.776670197853	0.5081705634887596	0.1503774889266878	3.3792994358118547	0.000726708100324604	0.003455575906173157
AAMP	4276.251636424263	0.05605539216819887	0.042287219117341214	1.325587100269064	0.18497650137032806	0.29577571772689454
AARS	7256.630259859654	-0.08306458856390178	0.0640850555445639	-1.2961616067593134	0.19491981374970663	0.30820052937407166
ABAT	12163.578252120973	0.09550504901388737	0.13780615039944133	0.6930390895983881	0.48828502076633196	0.6125768804156171
ABCA1	2929.7537019749298	0.19006042679726584	0.08879741168769915	2.140382508734704	0.03232386690898312	0.07442785248538737
ABCA2	2930.7807166556818	-0.34245704432080476	0.09811415351500671	-3.490393914150474	0.000482309058395164	0.00246162741832734
ABCA3	406.9934511283874	0.25043689057314605	0.16189406363598613	1.5469183053941111	0.12188294637049482	0.21420848717202964
ABCB7	782.7896312314447	-0.03691214309367524	0.05925305026259335	-0.6229576862303409	0.5333123283422302	0.6542521009885367
ABCF1	3841.2116133069717	0.00822654315290331	0.05334511157449438	0.15421362726770682	0.8774412977168499	0.9181937357291348
ABCA4	83.08103516701213	-0.7550739851869084	0.17100694737347122	-4.415457949423902	1.0079637333711962e-05	9.622908463897565e-05
ABL1	1781.6097628905661	-0.009579034714750629	0.06570517966903117	-0.14578812146929593	0.8840886534051527	0.9228155533475567
ABP1	94.61504741426823	-0.5149281882184923	0.2658724447112664	-1.936748987950582	0.05277603432790131	0.11028391739096875
ABL2	927.5194965671216	0.12239533101440495	0.06406719239899329	1.9104213315944867	0.05607898645550728	0.11582087717124807
ABR	665.3047469963618	-0.026986367452451334	0.13115932212765163	-0.20575256881997822	0.83698419298497	0.8897290303176069
ACAA1	11685.527099847162	0.5567796380455877	0.10497014822930315	5.304171209031015	1.1318604640191762e-07	2.141905704020024e-06
ACACA	2128.903569594082	-0.12396362441604342	0.08219612616505022	-1.5081443639706797	0.13151758293417803	0.22725273960305295
ACACB	3617.7884564958617	-0.08379139850758373	0.11420809433923493	-0.7336730289772301	0.46314804026675305	0.5904285333771657
ACADL	434.57798868896236	0.027362434464569905	0.21911255775014213	0.12487844031181347	0.9006197868822856	0.9336579761964277
ACADM	4392.8560341703915	-0.04741859605429074	0.10735567926926136	-0.4416962044025544	0.6587090566689207	0.7581848659842519
ACADS	3953.4717792522856	0.4510484768430786	0.10142634803042115	4.447054297053011	8.705583891973612e-06	8.528470408109127e-05
ACADSB	9637.221055132813	0.43064043789626194	0.11723611110812893	3.6732746747209544	0.0002394618384168492	0.0013740563824786473
ACADVL	20584.889426536112	0.4474712646109092	0.08346324098337461	5.3612974926296335	8.262631420053905e-08	1.6629104018765244e-06
ACAT1	12475.151115786906	0.27821149750454865	0.09950846100494165	2.7958577059164096	0.005176218493332271	0.017115768654795183
ACAT2	3405.793415227753	0.0663916234435938	0.10366097437967337	0.6404688344952734	0.521867844315647	0.6440554604236256
ACCN2	140.51420163500904	0.39022957618583815	0.2147011201241081	1.8175479287684466	0.06913325645709091	0.13674997142607315
ACHE	282.64453737005203	-0.14568091684182158	0.21599873573273418	-0.6744526367139468	0.5000235878855336	0.6233239553343309
ACLY	4186.261628435289	-0.14656319760847428	0.06740041690712512	-2.1745147038249346	0.029666502356242866	0.06952371669418175
ACO1	6678.007133441361	0.09961392453765974	0.08965642853449807	1.1110628224425672	0.2665413090773965	0.38971134067245883
ACO2	6798.807130564982	-0.07045065637345771	0.07447560906353103	-0.9459560956844294	0.3441709800248603	0.47207021601678434
ACOX1	10008.774407253773	0.11993346869908089	0.09530847516627662	1.2583714983357266	0.20825743459186039	0.32442801272081867
ACP1	3510.3617886670836	0.10864154829345357	0.04406666425569059	2.465390792075305	0.01368638891917318	0.037462119127595325
ACP2	3961.007847622774	0.04735425360121068	0.06336540301981973	0.7473203253579717	0.4548702263610449	0.58259221544505
ACP5	2083.9654854076157	0.13600840424192456	0.1574952069973077	0.8635717037677823	0.3878232139521405	0.5164387629997521
ACTA2	5886.224419085839	0.203617208950033	0.11479795269308028	1.7737006991267232	0.07611267074793261	0.1473668753833802
ACTB	114627.2352190764	-0.02000840749011554	0.055711735699023886	-0.3591417003808428	0.7194890873184379	0.8064185343283222
ACTG1	65750.55430862785	0.017468006474979317	0.06648564505476035	0.2627335037599762	0.7927559914428391	0.8582146749643861
ACTG2	282.87520679910176	0.030161842366091197	0.15483415824743413	0.1948009580540412	0.8455487722396847	0.8960266020325619
ACTN4	13961.000586525277	-0.059174499169451174	0.052193571832469594	-1.1337507108995892	0.25689913145121285	0.3799460863475371
ACTL6A	999.7829734822739	-0.21355605706951178	0.06282439050806594	-3.399253941701091	0.0006756994797426123	0.003253537779439614
ACTN1	5546.927559210377	-0.016029332502778375	0.07512861563238298	-0.21335855010576277	0.8310473083382036	0.8853512773111623
ACTN2	314.83540534466357	1.6879673439383098	0.27999988323933783	6.028457313660635	1.6553210422012648e-09	5.7308441923019146e-08
ACVR1	1006.3357168001753	-0.0187233837558248	0.07088100147118702	-0.26415235912596147	0.7916625194520883	0.8574089086030071
ACVR1B	2137.179084189655	-0.11560547819029772	0.07364638894641896	-1.5697372246507004	0.11647625727444579	0.20685438821706667
ACVR2A	435.8207203610522	0.06337692577189022	0.05429953703518302	1.167172488613035	0.243140718705333	0.36389254584248054
ACVR2B	400.9440975915889	0.15456532393443484	0.09071353300698541	1.703883850742893	0.08840278861656096	0.1662981850279705
ACVRL1	579.7940006549262	-0.004418408065298506	0.08653889279030094	-0.05105690543100766	0.959280175660213	0.9728675285057916
ACY1	9510.652909168462	0.24774737867734695	0.10303787218215064	2.404430268507277	0.016197696104510273	0.042908624703748045
ACYP1	82.34329402607636	-0.39370698627639006	0.08715354461289308	-4.517394995523188	6.2605055927105535e-06	6.443242001045268e-05
ACYP2	377.33577866691235	0.40361951316108513	0.0906445331841695	4.452772814671793	8.47684317757031e-06	8.350457063889859e-05
ADA	303.52319242599833	-0.3411791600427299	0.09429973628254804	-3.6180287823972592	0.00029685538971645345	0.0016422984097500524
ADAM8	234.97791065160473	-0.4514468990348352	0.11866625417874703	-3.8043410248276697	0.00014218218957739117	0.0008915870944741417
ADAM10	1613.5998849746725	-0.19649246779681126	0.09644523082844425	-2.037347685406342	0.04161521238868815	0.09084505933292678
ADAR	11916.849295374552	-0.01571372253382812	0.056556623911136174	-0.27784053302966055	0.7811347748198458	0.8494246014238429
ADARB1	430.9862143237621	0.14749194114881042	0.07733606330580102	1.9071560517064357	0.05650038264078239	0.11646507940057746
ADCY1	784.6696032142365	-0.6427361566585268	0.22947619480275164	-2.800883800653033	0.005096286597651929	0.016904008084371976
ADCY3	407.7929072909652	-0.05995526943857345	0.11496451902686293	-0.5215110709467164	0.6020107953409364	0.712018834565765
ADCY5	96.60920578140114	-0.27467450848757363	0.19967128529585476	-1.3756334972281363	0.168935130547803	0.27623527659732433
ADCY6	1566.519308475284	0.0037096989804268343	0.06247078750965524	0.05938293926346739	0.9526471015725413	0.9686470460653962
ADCY7	353.5640562998023	-0.31587389860478166	0.10579753199738283	-2.985645247495902	0.002829807144273368	0.010439513945916093
ADCY8	22.59481997052854	1.9970086612993074	0.45648853539046086	4.374718106756287	1.2158949955438305e-05	0.00011331867439696037
ADCY9	1989.0803644648722	-0.1012462981311721	0.07670726627573372	-1.319904919662106	0.18686676483973677	0.2981260555713123
ADD1	6107.132703834807	0.039040952801051874	0.047411190608533244	0.8234543849237386	0.4102496468945612	0.5387182930149949
ADD3	1162.1543134081587	0.11096258494242468	0.11271572921466404	0.9844463209841766	0.32489611227129905	0.45250891237786
PLIN2	14175.96281885915	0.0740700719354867	0.1264695515818695	0.5856751368928336	0.5580938452836955	0.6754727052263372
ADH1A	22729.70966768417	0.5221601036360687	0.1698507322054186	3.074229335700271	0.002110471278913275	0.008271381251804053
ADH1B	85230.58650524316	0.7929313561578166	0.19717471950414808	4.021465622732306	5.783714984964802e-05	0.0004224466271264384
ADH1C	22716.911958296874	0.603163271145289	0.21980865295086038	2.744037884987767	0.0060688533587479505	0.019416419564303594
ADH4	28157.88130126427	0.47917460789794175	0.23677528367719747	2.02375265042957	0.04299560830927325	0.09318009233847592
ADH5	8785.486129185527	0.2632921371165183	0.06788502917242431	3.8785007582123954	0.00010510219920415619	0.0006956831345544435
ADH6	9997.939668361678	0.8308058944097337	0.14708027283399785	5.648656195704931	1.617068867554161e-08	4.1258225388269613e-07
ADK	1353.1578587658532	0.3854883592227211	0.08636798965511625	4.463324441868442	8.069771997396157e-06	8.001538905274365e-05
ADM	791.2145962620554	-0.07741269374235214	0.12667056145779923	-0.611134053969931	0.5411108368616139	0.6607422925183078
ADORA1	138.41082363646782	0.04120184133341654	0.2291986252023791	0.17976478391629053	0.8573372315420736	0.904848005199977
ADORA2A	266.5501782498126	0.12279853951892085	0.07706794020554165	1.5933803237950155	0.11107489703922463	0.199091858341332
ADORA2B	40.28129967388643	-0.6681920587989247	0.18248565699642857	-3.6616141224293695	0.0002506311702929814	0.0014279456844580613
ADORA3	118.24877819054844	-0.5879952466768336	0.1452233987896162	-4.048901565295664	5.1458580752104915e-05	0.00038318632157054926
ADPRH	244.94311969714622	-0.24012624919441758	0.08171916213307569	-2.9384325894504846	0.0032987638658917703	0.011815413721675357
PARP1	6130.714310423958	0.033665070364963794	0.06075758224103284	0.5540883807951787	0.5795183616139779	0.6937357896886884
PARP4	2320.0089464741573	-0.06505616145353886	0.062496914362569086	-1.040949975163935	0.29789876590875775	0.4242043287059968
ADRA1D	43.0298964994445	1.6798392160485072	0.27728349496567095	6.058201250876759	1.3765211137801173e-09	4.869484310576553e-08
ADRA1B	190.4429590170263	0.3854897023348425	0.15699587837725026	2.4554128829327437	0.014072285671397794	0.038237283434433014
ADRA1A	138.28947289620575	0.14997744968080715	0.23459995440745246	0.639290191081311	0.522634168367633	0.6447105665119819
ADRA2A	136.85897068687467	-0.10906359382499982	0.21966518122634895	-0.4964992322229609	0.6195422289187409	0.7264086297659272
ADRA2B	79.48458905472224	0.4191592828754326	0.1222092641800747	3.429848675447416	0.0006039179519157016	0.0029693463380259305
ADRA2C	273.1193672205682	0.6184933330873206	0.21763477004692394	2.8418865834442175	0.004484744288120204	0.015190197107794904
ADRB2	303.50763186578774	0.46354071805826264	0.15456002284809006	2.999098405373914	0.0027077983409376457	0.010079290350308513
ADRBK1	2818.9078152718816	-0.1474027020419783	0.04761178226160777	-3.095929096542936	0.0019619727000082074	0.007772272965987389
ADRBK2	721.6311246641532	0.6351525540641053	0.159661436618963	3.9781212515324955	6.946194925750088e-05	0.0004919147932914697
ADSL	1925.993998907815	-0.048488173708582605	0.06366188760495137	-0.7616515238987571	0.4462680147624742	0.573812020596566
ADSS	1456.5532860924386	0.043608494477902326	0.059836157841881545	0.7287983729359562	0.4661250070012977	0.5933333101940451
AP2A1	4795.221345341715	0.05082020889170593	0.05091668095672795	0.9981052954904109	0.3182283025602211	0.4455136407247014
AP2A2	3192.0804843307146	0.07655276967766103	0.03960773637831463	1.932773156902093	0.05326414849357096	0.11113238491380671
AP1B1	4280.113518566202	-0.15607966266468326	0.04644796819240456	-3.3603119520351017	0.000778545105759748	0.0036473332054356485
AP2B1	4503.870152132908	-0.01132207446472284	0.05679964941966729	-0.19933352723832992	0.8420018544322487	0.8936031937618101
AP1G1	2606.1003734792603	-0.015215742501479607	0.0550921116144482	-0.27618731712380395	0.7824041980016414	0.8504120362602864
AEBP1	3420.930601112563	0.31411175160645377	0.1871007077461392	1.678837858981511	0.09318364798094311	0.17319157236742616
AES	11010.949007106678	0.2270240863030362	0.07392072357811792	3.071183225947751	0.0021321226878743766	0.0083386825605339
AFG3L1	245.49393185329683	-0.0777779042489183	0.06652244123282457	-1.1691979850333556	0.2423238728289553	0.36296369563161685
AFM	6580.001902840643	0.7893917359364581	0.18220472180517308	4.332443902197742	1.4746324378004858e-05	0.0001326990990704691
AFP	15483.87554198038	1.7912619657354147	0.33245198884635646	5.388032034193217	7.123335794320115e-08	1.4673283538701173e-06
