mRNA	logFC	FDR	Sub-0	Sub-1	Delta
IGF2	-2.190374866273115	4.1813550262756546e-09	214552.34634146342	57416.668789808915	469950.06692626595
APOA2	-0.5539369696221514	0.0024768555885349773	529266.6536585366	416546.6050955414	293180.36624966655
SERPINA1	-0.21401546503789132	0.08838823370930823	908380.9853658536	881906.5286624203	194407.57901465113
CYP2E1	-0.7886540871441484	0.011282427012956136	147604.9756097561	97520.46496815287	116409.2672974465
APOA1	-0.336517971394469	0.10246628941544902	311938.26829268294	281467.14649681526	104972.83324615727
AFP	-2.241586040983518	7.834879995260197e-08	41854.60487804878	10429.547770700638	93820.69804551482
GLUL	-0.5436046613659288	0.028897733625942536	172520.9512195122	138347.4331210191	93783.19326621084
H19	-0.49057097389442655	0.18575002329109752	171828.2	152614.04458598726	84293.9274165263
FGA	-0.16777776673481096	0.32561545948165915	467868.88780487806	464649.1210191083	78497.99712060227
APOC1	-0.38311766411747256	0.00593630060289501	204186.73170731709	184236.05732484077	78227.54369548839
FN1	0.4198733548448676	3.9567554740185465e-05	163389.44390243903	248360.2866242038	68602.87395755437
APOE	-0.2137185448210475	0.0984305139840064	320707.9268292683	319347.67515923566	68541.2314345262
FTL	-0.129594617627091	0.3626179758736506	472536.2926829268	494026.4840764331	61238.160165167064
AHSG	-0.38616682478876163	0.06232690942040577	143203.31707317074	126244.89171974522	55300.3702533646
A2M	-0.40343401394309975	0.024479893699806726	133956.49268292682	112049.6178343949	54042.60553681264
ALDOB	0.347480987448148	0.11708301322889295	140739.95609756096	198223.61146496815	48904.45891818948
CES1	0.4322113992725029	0.018195733414683866	103744.60975609756	164704.50955414012	44839.60294966268
TF	0.14901677641323094	0.3888685548932412	285296.93658536585	362117.31847133755	42514.02981052119
APOC2	-0.32390752520839855	0.03274443424040955	130542.36097560976	120054.66878980891	42283.65307847118
REG3A	-1.3323045145680195	0.04898748679404244	31460.726829268293	10388.974522292994	41915.26838622536
C4A	0.19050815985371086	0.1363999480820021	216497.88292682928	276745.025477707	41244.61328861437
HRG	0.4253491323903496	0.07840630081409708	81234.29756097561	122203.46496815287	34552.93798790047
AMBP	-0.13886939032163767	0.3294112666185944	244170.98536585364	253375.89808917197	33907.87587198961
AGT	-0.23123825380106267	0.039612971799343005	129531.49268292682	124318.52229299363	29952.636180245125
VTN	-0.10509189388151735	0.4522800443866591	280555.9121951219	295389.7643312102	29484.15215224205
C3	0.06645399330326048	0.61399485337347	431366.4	504461.4203821656	28666.01985685158
ITIH2	-0.27470469480607024	0.060973166347989854	103554.8	97724.80891719746	28446.989729703644
SERPINA3	-0.21058976281291367	0.2724897906255663	133371.8731707317	125753.50318471338	28086.751136938394
CYP3A4	-0.4435902746222249	0.2690218533838547	62663.64390243903	54845.484076433124	27796.983007512237
CP	0.5808892127680455	0.00018927169089895103	44129.560975609755	75284.45859872611	25634.38593492141
CYP2A6	1.0426501244938193	0.0009413945909290842	24484.365853658535	55453.03184713376	25528.62710546929
FGB	-0.09038035000974322	0.654597952641384	282069.43902439025	295869.2356687898	25493.534626076314
HP	-0.04385595357609495	0.8721218157137038	577610.1365853659	623681.6178343949	25331.64333516967
SAA2	-0.7222614177261881	0.0466930993596392	34422.46829268293	19986.108280254775	24862.02075070793
PLA2G2A	-0.9192491417707143	0.02066308698106586	26978.951219512193	14497.388535031847	24800.377754410547
TPT1	-0.2622742121679127	0.0004816803239547836	93874.33170731708	91220.4331210191	24620.816391325894
RPL8	-0.3288058315963756	0.011162126823213932	71634.54146341463	66309.92356687898	23553.854976903098
RPS19	-0.6114887205644483	7.574499731099638e-08	36584.9756097561	27957.292993630574	22371.2999274913
P4HB	0.22502153646781992	0.0021818920000460764	99377.68780487805	131874.90445859873	22362.120000472987
FABP1	-0.42980135780735257	0.059976938493958576	51821.48292682927	45055.63694267516	22272.943725541758
HPD	-0.3894938395405538	0.16980475569174677	56847.30243902439	49320.23566878981	22141.674094498696
C1S	0.29664753337240846	0.011484244012803834	73441.58536585367	102139.28025477707	21786.26514573966
SERPINF2	-0.4148020640720937	0.003247891044028344	51505.49268292683	44024.458598726116	21364.584675928167
B2M	0.24743259340694462	0.017014482802516738	84719.0243902439	115367.67515923567	20962.247915784243
MT2A	-0.8338412887237693	0.00026962398043896654	24764.39512195122	17548.254777070062	20649.57514295243
CD74	0.38838332300195333	0.013456237668113852	52314.71707317073	76542.29299363057	20318.16365878507
HLA-B	0.3516967322998461	0.016213781572091465	56714.23902439024	83211.22929936305	19946.21253975046
GPX3	-0.5043114169680601	0.002176235206642826	39546.53170731707	33466.43312101911	19943.76744148939
RPL3	-0.3110576653438781	0.00011622237762958616	61714.917073170735	57429.85350318471	19196.898021671528
FGG	-0.07509918825249877	0.7004407943068512	252810.80487804877	265235.14649681526	18985.88622780232
RPLP0	-0.3653551569641214	0.0001530215395951111	51112.3756097561	46057.35668789809	18674.17001371157
ENO1	0.5372957581986585	1.4713175370960008e-06	34515.7756097561	57373.949044585985	18545.17982605867
GC	0.1648450196051197	0.24019829982835336	105638.43902439025	130009.66878980891	17413.970552029852
RPS18	-0.3924347970092101	9.805886648696896e-05	44159.20975609756	38759.859872611465	17329.610516721274
TAT	0.83844703888104	0.0012661856764833337	20464.09268292683	41747.52229299363	17158.057913387158
SERPING1	0.185158800907318	0.10673894263284665	92013.28292682927	117167.87261146496	17037.069134277503
SQSTM1	0.27262201224818583	0.06920873449185752	61983.93658536585	84082.15923566879	16898.185518966384
RPS24	-0.5126301659650654	1.2549597688207584e-06	32877.29756097561	26983.770700636942	16853.89450516577
ASGR2	-0.6217013094042835	5.173031359357193e-07	26980.482926829267	20116.853503184713	16773.80156396967
REG1A	-2.1907630415052073	0.0003815754350923921	7626.4292682926825	1469.9936305732483	16707.699379629208
AKR1B10	0.7000000943454749	0.02242498836253633	23825.746341463415	45279.8152866242	16678.024686875746
KRT18	-0.49121965572513265	1.7868144189637926e-06	33758.60975609756	28674.305732484077	16582.89266214935
RPL13	-0.47024263917316195	1.33841200344846e-05	34980.6243902439	30349.91719745223	16449.381133193372
DHCR24	0.3047187854264772	0.0008299646504690386	53750.10243902439	76930.40127388535	16378.66593176824
EEF1A1	-0.15262870782738686	0.09222212971608491	106789.6243902439	111195.68152866242	16299.162380054922
RPS6	-0.37994531993649894	0.00011381938784641525	42372.65365853658	38367.58598726115	16099.291450851144
ORM1	0.08901303354609157	0.6662058337009564	178746.75609756098	215122.9872611465	15910.790996767242
ALB	-0.0071830737158956924	0.972407291494426	2197674.351219512	2456871.1656050957	15786.056868342996
HLA-C	0.36247101821539907	0.0029463784264917897	40289.829268292684	58456.61783439491	14603.895438602636
KNG1	0.1671320062974296	0.35691933552002164	85898.14146341463	112022.52229299363	14356.328720000914
AQP1	-1.6606029271340375	2.997268612631701e-14	8547.814634146342	3079.3503184713377	14194.526002062576
SEPP1	0.15074487851219118	0.2639670069217506	92478.1756097561	116268.19108280254	13940.611347321765
PEG10	-1.1228097039696368	0.0022359408738562344	12347.90731707317	6961.15923566879	13864.350159327438
GLUD1	-0.5593443032450398	6.2894568175871235e-06	24765.443902439023	19541.40127388535	13852.409964163875
UGT2B4	0.3992939966312737	0.02363351239816546	34561.34634146342	52324.33757961784	13800.138109640577
RPL4	-0.31843658597080166	0.000351723538881657	42729.27317073171	40427.490445859876	13606.563869501575
RPLP1	-0.28263776370193344	0.0031045616105696305	47964.48292682927	45924.95541401274	13556.574191558591
RPL28	-0.4389936207174324	6.274541989388241e-05	29885.09756097561	25800.496815286624	13119.367183786391
CTSB	0.33559645228583135	0.0011230436057638102	38765.60975609756	55448.41401273885	13009.601104843354
APOA4	-0.6371847673323594	0.17770734713935926	20015.16585365854	16534.12101910828	12753.358797582001
CRP	-0.13785327466517971	0.724034628734368	92273.91219512196	92447.66242038217	12720.260962264823
RPS11	-0.32639892579004354	0.0005678567228089118	38730.27317073171	36182.19108280255	12641.519558481772
HLA-A	0.2459829891047948	0.03985109228705072	51060.72682926829	70632.77707006369	12560.070211326805
GPC3	-0.4404428049281107	0.10760943348841291	28503.61951219512	23240.267515923566	12554.214128554846
KRT8	-0.34139055789545225	0.0035879579449056894	36562.28292682927	33912.87261146497	12482.018166321614
DLK1	-1.20578856273002	0.07840630081409708	10299.30243902439	4857.624203821656	12418.78108507301
GNB2L1	-0.3261350092931119	0.0001411531633998209	37792.068292682925	34955.33757961784	12325.316543840065
RPL37A	-0.41431504776697836	0.00010490754897395514	29274.921951219512	25700.76433121019	12129.040686594075
SAA1	-0.3021757581302818	0.40588259075268646	39813.31219512195	32592.38853503185	12030.61779623857
FASN	0.4287883862669511	0.0035966891276842015	27872.926829268294	43518.789808917194	11951.587315658757
RPS20	-0.3087896675914263	0.005226402874264756	38403.243902439026	36113.96815286624	11858.524919066615
RPL30	-0.3045436199208262	0.004343977377880117	38935.65853658537	36834.458598726116	11857.606394732926
RPL32	-0.38588317364819796	0.00010675478488667642	30631.70243902439	27895.707006369426	11820.258551417977
RPS4X	-0.3117382256642889	0.0014626976580192571	37819.23902439024	35023.019108280256	11789.702469437045
