mRNA	logFC	FDR	Sub-0	Sub-1	Delta
APOA2	0.5480521482843459	0.0016647220013692357	423869.71428571426	533263.5347593583	232302.7075069576
SERPINA1	0.1900726518650962	0.11026387149193319	892569.04	900951.0427807487	169652.96440548313
ALB	0.06159141974696659	0.7207076718277168	2429346.44	2198483.35828877	149626.89629683897
IGF2	1.9940283775317973	1.8776253394398902e-08	65989.52571428572	221654.97860962566	131584.98689414997
HP	0.21926108938729824	0.29856096730126225	582325.5371428571	611877.6631016043	127681.33165198645
GLUL	1.115108790008437	7.127766883348986e-07	108256.49142857143	203970.35294117648	120717.76516747303
APOA1	0.38667333090632794	0.04285901574730778	276554.1885714286	319469.0053475936	106936.12927101103
CYP2E1	1.425616945191516	6.433044985601242e-07	74280.14285714286	174174.9090909091	105895.0303483894
FN1	-0.42268959487356866	1.9030462578977214e-05	243094.72	160138.10160427808	102753.60871270362
FGA	0.22085940873076654	0.15229029417607481	456915.61714285717	475416.04812834226	100914.11304202474
SPP1	-1.5319032960071044	1.983488840511105e-07	56960.834285714285	17503.26203208556	87258.48978560019
H19	0.5051370603989984	0.14204748643479623	153141.07428571428	173184.48128342247	77357.23209103035
APOE	0.23625428659799091	0.04944671821726401	318852.26857142855	321302.4759358289	75330.21524149385
APOC1	0.41042862923114243	0.0018619856985190998	181496.92	208670.48128342247	74491.53208527432
AHSG	0.5479220700218106	0.003963568172344592	118921.13714285714	151689.45989304813	65159.51563266191
AMBP	0.2582056055569344	0.03928331233777619	242441.36571428573	253517.80213903743	62599.719646307334
SQSTM1	-0.5991760803817234	7.514431272144619e-06	91541.78285714285	52875.90374331551	54849.6466434977
RBP4	0.2587552364368742	0.06083867450995742	210499.61142857143	219524.17647058822	54467.87672507015
VTN	0.1871605942839503	0.12629864511861302	285370.0628571429	288504.7807486631	53410.030555191115
CYP3A4	1.5799238094334227	5.463664920851592e-06	33058.05714285714	83805.49732620321	52229.21157361063
ENO1	-0.819608074039774	8.193562816532657e-16	60461.24571428572	29426.342245989305	49554.52515393125
CD74	-0.6076323139103433	3.019154284836313e-05	80185.8	46572.95187165775	48723.48319675201
APOB	0.22720577743037118	0.06688147296501464	210605.7257142857	210455.44919786096	47850.8376422018
ADH1B	0.6535763937826441	0.0021822005023994923	70791.02285714286	98004.89304812835	46267.34143115616
CRP	-0.42801811249983857	0.17996520390441742	107937.64571428571	77761.21390374332	46199.26738630486
C4A	-0.15974206737758015	0.19041708255697307	272443.2057142857	214724.45989304813	43520.64092377536
C3	0.09165909249246479	0.42859434336770724	474215.8171428571	452635.2245989305	43466.191444886914
HLA-B	-0.5066247274451899	0.00020173363378408817	85222.75428571428	52281.28342245989	43175.95466212839
