mRNA	logFC	FDR	Sub-0	Sub-1	Delta
APOA2	-0.5410654016424734	0.0013066638244281913	549242.7228915662	422057.0867346939	297176.234460531
HP	-0.392810362377582	0.04283321640308174	660492.4337349398	544318.1020408163	259448.27224307274
ALB	-0.11165455555550693	0.4778141841683031	2250881.379518072	2360233.1938775512	251321.16003825667
CYP2E1	-1.3553545540992258	9.156783453108092e-07	180761.0481927711	79405.0969387755	244995.30987182193
IGF2	-1.2069261603645636	0.00044914601728762856	199304.01807228915	101597.86224489796	240545.23327721754
GLUL	-1.0707635050881745	8.742453139470147e-07	211425.59638554216	112197.41326530612	226386.8126511408
SERPINA1	-0.22102199373272477	0.05026366511714119	912928.313253012	883323.0969387755	201777.23593023422
FGA	-0.3457661872854603	0.01602036564558376	502488.8313253012	435968.8163265306	173743.64736087617
CYP3A4	-1.505499244434409	6.3364813317052205e-06	87451.99397590362	35406.92346938775	131658.9108550054
APOA1	-0.3727456577051537	0.04241947371362158	321803.6987951807	279174.862244898	119950.93135936082
APOC1	-0.5164810781488227	4.010147734160684e-05	220812.11445783134	174125.1530612245	114045.27894350198
C3	-0.21305637128088897	0.0416529881677387	474174.2409638554	453661.38265306124	101025.84313462889
AMBP	-0.3025931467101163	0.011327653792048432	261043.43373493975	237254.3775510204	78989.95404186915
RBP4	-0.3365653651332138	0.0099738768554886	229405.07228915664	203098.01530612246	77209.8019184113
VTN	-0.24721164256619926	0.0318736987348197	296742.1807228916	278729.35204081633	73358.12191518198
ADH1B	-0.7003815680297145	0.0006243330403329874	101881.07228915663	70423.90816326531	71355.62516242822
FGG	-0.26002768935136833	0.08669057029631344	271229.265060241	247163.64795918367	70527.11907808429
HPD	-0.9829030718683425	4.413327919532183e-05	70318.65060240965	39408.56122448979	69116.41768674512
FGB	-0.23009017803647738	0.15411358385461787	298578.4156626506	279141.2653061224	68699.96081766863
FN1	0.43952763350407326	5.926428689101359e-06	156205.68674698795	237537.02551020408	68656.71583578219
A2M	-0.4723285560915868	0.003496309017338722	140612.61445783134	110771.3112244898	66415.35315513046
REG3A	-1.764473066398229	0.0029757116302294613	37540.14457831325	9432.92857142857	66238.57401712924
APOC2	-0.4095008183182817	0.0026387803800138024	137241.5	116467.74489795919	56200.50655722846
APOC3	-0.32404690562032284	0.061259036901534586	169460.89156626505	151527.8724489796	54913.277535709254
SERPINC1	-0.3685709613293701	0.03898318331224257	132318.2168674699	114413.78571428571	48768.65239223145
SAA2	-1.160831630713841	0.0002819806557680094	40874.0843373494	17394.525510204083	47447.92997526038
EPHX1	-0.3590533995123014	0.008413991218835234	130982.03012048193	114868.04591836735	47029.543189781696
APOH	-0.243999173098168	0.09509159015566403	188389.6626506024	175806.20408163266	45966.92190698981
AHSG	-0.3189764063651987	0.09119652344963397	143777.53012048194	129132.94897959183	45861.639873895445
SERPINA3	-0.3089921846015516	0.06160171229377431	139999.14457831325	121656.51020408163	43258.64152560148
FTL	-0.0912565197137262	0.4752818727620787	467698.5481927711	493847.64795918367	42680.54178323474
HPX	-0.37455318715248737	0.01796890360001402	106311.65060240965	88439.58673469388	39819.36756457419
APOB	-0.1892365763254889	0.11586639141583693	209681.078313253	211245.4693877551	39679.32938023672
CFB	-0.22463306933002594	0.060551846646776444	168994.34939759035	162272.67857142858	37961.71940461154
SAA1	-0.7095145101292608	0.018371466591882834	46473.47590361446	28388.45408163265	32973.60548975702
CLU	-0.17956061597079803	0.09375154915840328	181499.7469879518	178031.193877551	32590.20636770062
MT2A	-1.1016141554637038	1.0239712832899714e-07	28427.578313253012	15881.627551020409	31316.222675432517
ITIH4	-0.32988199107177535	0.016475775831043742	92073.65662650602	81001.8163265306	30373.44117321077
ACTB	0.30453566492992595	1.7012552023081928e-05	98817.34337349398	138163.5918367347	30093.4053708558
C4BPA	-0.4802467693279082	0.004151539798595378	57249.62048192771	45491.09693877551	27493.94528169463
ITIH2	-0.2644887009899393	0.046429579428120454	103925.6204819277	98570.79591836735	27487.15236083849
CD74	0.5901396227167035	4.0575823150605794e-05	46268.48192771084	76842.29081632652	27304.864468493888
TF	-0.0844150451180342	0.5922015707490607	307006.2289156627	328445.1887755102	25915.944665433202
PLA2G2A	-0.8961020819812296	0.012226155233946224	28755.451807228917	15476.377551020409	25767.820232768747
TPT1	-0.2579586786046973	0.00022285142101557447	96016.99397590362	89933.80102040817	24768.41688961928
SQSTM1	0.4488405916534683	0.0008137475807962057	54884.70481927711	85697.67857142857	24634.4833838103
SPP1	1.2703186439800565	1.7352358739274827e-05	18971.873493975905	51489.413265306124	24100.324610628646
