mRNA	logFC	FDR	Sub-0	Sub-1	Delta
GLUL	-1.4909269583644362	5.158516038721161e-12	246797.28368794327	100854.86425339367	367956.7235014702
ALB	0.13873988848284738	0.431690297384595	2039653.5815602837	2482628.3257918553	282981.310449314
APOA2	-0.454207688626095	0.01260264116344394	538376.9858156028	443377.0407239819	244534.9663367889
CYP2E1	-1.2365401435000913	1.5770716560939263e-05	186173.93617021278	87417.23076923077	230211.54574789177
CYP3A4	-1.8818927379795853	2.1709768726851872e-08	101064.23404255319	32609.64253393665	190192.04811415003
IGF2	-0.9158281809621731	0.013119274194454305	197633.085106383	113716.66515837103	180997.9488309211
EPHX1	-0.551669890544302	7.703465455182895e-05	140899.24113475176	110363.62443438914	77729.86893458372
APOC1	-0.36523341693251454	0.00788370850878963	209849.4609929078	186400.7556561086	76644.03567988615
AMBP	-0.2916470705866031	0.023908972686571665	261837.25531914894	239438.9819004525	76364.06848426624
SERPINC1	-0.5327625926948284	0.004225372001759335	140459.74468085106	111244.80542986425	74831.69774542384
AHSG	-0.45670689522112007	0.021604255497579154	156479.87234042553	122685.3665158371	71465.43666119297
HPD	-0.8413313635333938	0.0009717485964212826	69838.9219858156	43211.24886877828	58757.67546202855
ADH1B	-0.5736232369987818	0.009366491708213057	100144.12056737588	75090.60180995475	57444.99460625443
APOA1	-0.1840565129064421	0.3935877158879525	303012.8581560284	295985.8552036199	55771.49003801295
CRP	0.7568408271186922	0.021379980350807407	64939.936170212764	109836.66968325792	49149.1950040989
FTL	-0.10193769051310976	0.47845860556967473	467603.58156028367	490950.19457013573	47666.429179913874
APOB	-0.20765515171055018	0.11353028310796973	211936.70921985817	209629.3891402715	44009.74950608441
FN1	0.2613202846469592	0.01609458200002428	167732.40425531915	220982.49773755655	43831.879624518835
REG3A	-1.2343993858445859	0.0539283156243798	35116.75177304965	14158.62443438914	43348.09682150926
APOH	-0.22868268608872697	0.15628795962183079	187633.7659574468	177711.9411764706	42908.59360009247
RBP4	-0.19594897846490222	0.18783830460273046	215851.67375886525	214721.11764705883	42295.91497298898
ORM1	0.25510215652477775	0.16274005893075008	161691.35460992908	215470.19457013573	41247.813252405474
ALDOB	0.29834886372365094	0.18831456635029833	134749.9929078014	185398.41176470587	40202.50727081257
VTN	-0.1370429106797293	0.3041279033640667	285639.1631205674	287850.82805429865	39144.822318164544
TTR	-0.37706273697108994	0.0660170629595641	95696.93617021276	85149.85972850678	36083.74867208812
SCD	-0.349549434821016	0.06705933496410675	98905.51773049646	82702.52036199094	34572.36782337502
AQP9	-1.1331002571995017	1.5972415869550746e-07	30028.893617021276	15660.859728506788	34025.747080863286
ITIH2	-0.3026072314143904	0.03371486772338352	106896.72340425532	97280.95475113123	32347.72151663157
C4A	0.1365521456557226	0.3029624720131627	211775.04255319148	262311.1040723982	28918.336456970253
FGG	0.12353677291879064	0.49660854573477364	232152.4609929078	274817.35746606335	28679.365856219254
APOC3	-0.1757927473094778	0.3848059461992428	159508.6170212766	159906.13574660633	28040.458005705546
TF	-0.08701802926051586	0.6305938709693661	306166.04964539007	326556.00904977374	26641.966266619103
B2M	0.3416987927970818	0.0007677713612429427	77639.5744680851	111008.80090497738	26529.348869023815
CD74	0.5805816175042475	0.00016764446530698527	44667.51063829787	74405.14932126697	25933.13557627116
C3	-0.056808595578548955	0.6663412685961209	445060.39716312056	474556.7375565611	25283.256110468094
TPT1	-0.25954138664960075	0.00045719567110580263	97163.53191489361	89890.44343891402	25217.957804964226
AGT	-0.18979919006478754	0.09375061744044547	130111.95035460993	125457.82352941176	24695.14279505481
DCXR	-0.7243385291105772	6.4644581798221096e-06	33161.716312056735	22732.660633484164	24020.30881625741
CYP2D6	-1.0440389479870913	2.4574510169729487e-08	22909.936170212764	12674.045248868779	23918.865657600345
SPP1	1.3154790274620505	3.731577541393971e-05	17786.45390070922	48567.26696832579	23397.70707930356
HP	0.041730942834782826	0.873151529238719	549048.9290780142	628561.9592760181	22912.32947285334
SERPINF2	-0.4233815837082251	0.0021009130635647735	53887.113475177306	44671.41628959276	22814.811444585404
HLA-B	0.4364659166749778	0.002690749055684153	51462.77304964539	78888.37556561086	22461.746413749817
SEPP1	-0.21094080113207694	0.10100880715363178	104749.92907801419	101549.28506787331	22096.033958244556
CP	0.5229037040488485	0.0011258828955346362	42177.234042553195	67507.82805429865	22054.63190738625
APOC2	-0.17595334614392785	0.2691817116893426	124728.45390070922	126801.15384615384	21946.388823188438
GAPDH	0.2176433284953418	0.037152523778012925	97111.02836879433	127263.85520361991	21135.56744778996
