mRNA	logFC	FDR	Sub-0	Sub-1	Delta
HP	-0.5543317737856462	0.003462891432495989	681904.7513227513	505480.31213872833	378001.47035360074
APOA2	-0.600809419951841	0.00031557472670572104	542586.5767195767	412419.75722543354	325991.12643254397
CYP2E1	-1.4509501823170188	1.901501744988811e-07	173692.69312169313	73652.10404624278	252019.44475205464
ALB	-0.10250022670337205	0.5110659202979155	2256499.1534391535	2368633.959537572	231291.67478348035
GLUL	-1.0265508362965952	2.857721546893029e-06	200042.7619047619	111440.80924855491	205354.064528414
FGA	-0.35423363493435195	0.012770839386085366	499006.90476190473	430929.0693641619	176765.0297311495
CYP3A4	-1.7712094416588586	1.507753952548048e-07	86377.47089947089	29661.537572254336	152992.59200375614
APOC1	-0.6422060555658938	2.123056535755887e-07	224453.38095238095	163940.18497109826	144145.3204398575
SERPINA1	-0.1423688254784501	0.2140306913611118	883285.3703703703	911771.6300578035	125752.3007419274
APOA1	-0.3799164152409369	0.03683774052655622	317884.49206349207	277789.12138728326	120769.53668544797
RBP4	-0.5003240271762974	8.214471370594759e-05	238819.6455026455	189315.26011560694	119487.20680669932
AMBP	-0.3796660628524227	0.00118736795059341	264374.25396825396	230452.79768786128	100373.93212367347
ADH1B	-0.9479570009145153	2.7888568939460125e-06	105694.5925925926	62075.526011560694	100193.92900695563
IGF2	-0.5856861713532838	0.09707203111977848	165861.1322751323	125143.89595375722	97142.5715385428
C3	-0.20206968215553567	0.05133682387778212	471098.38624338625	454294.56647398847	95194.70117218683
HPD	-1.19114439940033	7.12990694625702e-07	70816.01058201058	34755.76878612717	84352.0943926364
SERPINC1	-0.5898921345084692	0.0006736565575686002	139190.8677248677	104525.15606936417	82107.59806630822
FN1	0.5277460228423473	1.933928208719832e-08	154185.51322751323	250556.87283236993	81370.79138572623
APOE	-0.2322853658065272	0.042576090189976754	323778.9894179894	316118.387283237	75209.12099742536
APOC3	-0.42879566115243845	0.011316127681080956	173789.08994708996	144415.2196531792	74520.00772494303
FGG	-0.2687586541850921	0.0728050799516856	270213.67724867724	245073.68786127167	72622.26423975933
FGB	-0.23438166180384049	0.14139365744116114	297817.1798941799	277388.77456647396	69802.8855373312
EPHX1	-0.48016468532359613	0.0003152087371164769	132791.42328042327	110748.98843930635	63761.7519731169
APOH	-0.32488552718044944	0.022614199485251864	191431.95767195767	170809.59537572254	62193.47248743945
APOC2	-0.4293842523317872	0.0014669529392029772	136290.1322751323	114745.27167630057	58520.836547158055
VTN	-0.1932533906645669	0.09432193591710196	289806.2962962963	283911.936416185	56006.04939519938
A2M	-0.38725850232178255	0.016978088456866963	134641.50793650793	113327.31791907514	52141.06871383846
CFB	-0.2953351681980952	0.011431970562769738	171850.67724867724	158258.54913294798	50753.548670194665
AHSG	-0.3495586442928404	0.06014607956639042	143374.25396825396	127626.55491329479	50117.709843640245
REG3A	-1.4370049673961598	0.016825696079333066	33165.63492063492	10475.21965317919	47659.18212779992
HPX	-0.43571988724422644	0.005234399376563435	106370.91005291005	85998.79190751445	46347.92093431972
SAA2	-1.1276741134270436	0.0004473932742919615	38590.30158730159	16767.965317919075	43517.28412934255
A1BG	-0.550541577811566	0.0008108538332965991	71743.93650793651	54064.173410404626	39498.02000349218
TF	-0.12046023229809527	0.4281727110087931	311630.2645502646	326243.76300578035	37539.05405884176
FTL	-0.07850393474420489	0.5371071088834588	462247.94708994706	503278.82080924854	36288.28267399188
TTR	-0.37138381075122184	0.04733262747572847	94452.51851851853	83583.01156069365	35078.13626245776
SERPINA3	-0.25740946774481177	0.1194785282815091	136222.44444444444	123343.88439306358	35064.94691934164
APOB	-0.16838717661872205	0.1592380715626923	207231.21164021164	214129.89595375722	34895.07863537208
ITIH4	-0.377012563114778	0.005433207905360754	92369.38095238095	79206.76300578035	34824.41706618249
H19	0.26005390859342137	0.43964194094078396	130703.47619047618	199319.24277456646	33989.94985008052
SAA1	-0.6971283383725617	0.0203266709751405	44877.4708994709	27727.699421965317	31285.356718511142
MT2A	-1.087618963357369	1.8224004198917583e-07	27267.48148148148	15481.057803468208	29656.629942255146
CD74	0.6114602309986229	1.3653451015602637e-05	46885.7671957672	80232.64161849712	28668.782040071466
ACTB	0.2836867983952069	5.010127178965659e-05	100347.05291005291	141723.41040462427	28467.134168447337
TPT1	-0.29529080289583937	1.7218742526220425e-05	96110.86243386244	89022.5028901734	28380.653735106804
SQSTM1	0.5214540197935746	6.344631136002068e-05	54353.25925925926	90374.79768786127	28342.725529623072
KNG1	-0.28272524847954306	0.06485438041187531	100113.04761904762	94076.81502890174	28304.486264139563
C4BPA	-0.485122823721792	0.003578506491413149	56187.42857142857	45088.25433526011	27257.804006237922
ITIH3	-0.37221300780278893	0.008834596160031684	73019.07936507936	64528.38150289017	27178.65115746675
AQP9	-1.0151171897772926	1.7844960917477488e-06	26660.89417989418	15353.843930635838	27063.931976843956
