mRNA	logFC	FDR	Sub-0	Sub-1	Delta
HP	-0.6946224372956455	0.00020768677399168637	707011.4974093264	472632.3846153846	491106.0495265103
APOA2	-0.7503616222229597	5.127464302483135e-06	561464.4611398964	387780.11834319524	421301.3838814726
SERPINA1	-0.289155277247667	0.008365563971560686	938202.2746113989	849730.1065088757	271286.1388296509
CYP2E1	-1.491210790274701	8.010110703211777e-08	175329.9585492228	69414.50295857988	261453.92604701707
FGA	-0.44477196321296564	0.00151269673906373	513782.8549222798	412443.449704142	228516.20904894467
GLUL	-1.081157491240695	7.221056750358446e-07	203059.67357512953	105898.37278106509	219539.48725464148
APOC1	-0.8270144658352138	7.761038877460816e-12	231932.9378238342	153966.1775147929	191811.89468397008
IGF2	-0.9623180876351535	0.005408820438647766	182031.30569948186	105713.6449704142	175172.0179904554
APOA1	-0.5139516705503203	0.004049752813734484	327828.896373057	265483.49112426036	168488.2089456005
CYP3A4	-1.6708428020198836	6.83180947986112e-07	84307.50259067357	30683.076923076922	140864.5838598996
ALB	-0.05594435207153167	0.724308169706545	2209958.7823834196	2424437.6923076925	123634.71218523147
AMBP	-0.44033430036228516	0.00014178330831032812	268815.585492228	224577.8698224852	118368.72276419826
FGB	-0.35549576946472733	0.022020718659154198	310277.2901554404	262675.66863905324	110302.26401123875
FGG	-0.3897523104153032	0.007799466905842786	281074.15025906736	232075.8698224852	109549.2994614896
RBP4	-0.39976543345201637	0.0017725638924409534	230841.792746114	197254.36094674555	92282.56933599079
APOE	-0.26540921691636615	0.01907528344438753	325143.414507772	314378.88165680476	86296.05903002122
FN1	0.5483034542784156	3.6252767345022446e-09	154733.78756476683	252211.71597633135	84841.07021534421
C3	-0.17384811380255377	0.09450319305727847	467923.5544041451	457522.53846153844	81347.62733694728
ADH1B	-0.7888436946235592	9.969547614109518e-05	101303.84455958549	66057.40828402367	79912.89902195416
VTN	-0.266183697227379	0.018511555762710984	297125.1139896373	275414.24852071004	79089.86138086808
HPD	-1.1223944440425628	2.8388380239593955e-06	70033.38860103628	34796.03550295858	78605.08626327687
APOC2	-0.5356415356278681	5.632005464049828e-05	139276.41450777202	110824.96449704142	74602.23254368649
FTL	-0.15587506231997955	0.19733921163674942	475664.41968911915	488928.1952662722	74144.22106243836
A2M	-0.5300585474395517	0.0008774460901790832	139753.30051813473	106985.1124260355	74077.43147252564
SERPINA3	-0.4645460289828487	0.003682940590355512	147448.72020725388	110218.52662721893	68496.7174508829
APOH	-0.35261829479409573	0.012534224310247637	193889.67357512953	167514.75147928993	68369.04607424601
SERPINC1	-0.47913799384627315	0.005949256335258823	134787.41450777202	108733.46153846153	64581.77138297994
ORM1	-0.2937223575205764	0.06649180130524443	203947.9481865285	183760.0	59904.07215283151
EPHX1	-0.44304110031156113	0.000881239512171122	131510.48704663213	111690.11834319527	58264.55088364921
APOC3	-0.33917957746752414	0.04625135264851087	167535.1761658031	150862.02366863904	56824.510262864314
HPX	-0.5159129774484337	0.0008194532203044392	108732.50777202072	82819.63905325443	56096.51183009816
CFB	-0.30959443965921757	0.007576354369167191	172538.35751295337	157151.5029585799	53416.91611394455
