mRNA	logFC	FDR	Sub-0	Sub-1	Delta
APOA2	-0.6978460349102111	2.6136961887091863e-05	578945.9192546584	401428.7960199005	404015.1141793106
GLUL	-1.4638446068471729	3.504621358579585e-12	233721.04347826086	96807.23383084577	342131.28900234576
CYP2E1	-1.2201464226674144	1.030790155435097e-05	176685.4037267081	85190.96019900497	215582.0632946907
APOA1	-0.5743647638372129	0.0014489829852074034	351049.1055900621	256809.85572139305	201630.23662750082
IGF2	-0.991564733778913	0.00437624369345521	197052.95652173914	105831.4527363184	195390.76237382597
CYP3A4	-1.9972401262884323	1.030288026409478e-09	97306.65217391304	28808.044776119405	194344.75027653063
APOC1	-0.6844062793492643	2.2249195775448607e-08	232820.32919254657	165668.0	159343.6952595417
AMBP	-0.4161883274730517	0.00040981298724184975	273808.5341614907	227621.36318407962	113955.91588051875
SERPINA1	-0.11054910853521581	0.3568240847116407	888647.4472049689	903508.3980099503	98239.18309060457
SERPINC1	-0.6639677502192519	0.00012905518138078197	146704.55900621117	103335.78109452737	97407.09599026153
TF	-0.2789272102141016	0.05909873772754211	334264.50310559006	306078.1393034826	93235.46532484514
EPHX1	-0.6190514193921806	2.5439446580858264e-06	143450.49689440994	105281.71144278607	88803.23371499806
AHSG	-0.538456679169295	0.003521742097997759	160319.54658385093	116247.16915422886	86325.13065946745
APOC3	-0.4578399804185743	0.007470662588106855	178170.93788819876	144997.26368159204	81573.77871389194
ALB	0.036906743467834256	0.8268563524063127	2158315.366459627	2431657.9154228857	79656.39155261015
RBP4	-0.3353443415870708	0.010852422638430009	229099.91304347827	203996.85074626867	76827.3594972204
APOE	-0.2240155489018543	0.0561261172131117	332190.55279503105	310447.91542288556	74415.84902438929
FGG	0.34394752289614966	0.02382167404062284	211360.73291925466	295716.6915422886	72697.00052509231
C3	-0.15267849886672144	0.15870482136332628	468458.47204968944	458749.9552238806	71523.53629394456
APOH	-0.35007925129251005	0.015303094598526596	197411.6645962733	168892.64676616914	69109.72773827147
VTN	-0.2305299970561548	0.04860868143847492	297405.41614906833	278646.184079602	68560.86970932921
FGB	0.27825691114949913	0.08711580385038865	242310.049689441	324695.4577114428	67424.4459670655
ADH1B	-0.6561297382931668	0.0014682756280179625	101061.9751552795	71862.51741293533	66309.76731002406
FGA	0.14450175362437043	0.35021949646040057	413233.85093167704	509116.3383084577	59713.01611657901
