mRNA	logFC	FDR	Sub-0	Sub-1	Delta
APOA2	-0.5659602086929687	0.0011323219159693125	537557.2020202021	411348.506097561	304235.98623976187
IGF2	-1.501245074359555	2.8624514095541415e-05	199924.9696969697	81783.56097560975	300136.375999059
ALB	-0.12248240039751884	0.4508115259546909	2279461.757575758	2347064.5548780486	279193.947682226
CYP2E1	-1.4051474058310043	1.092695300676717e-06	170209.9393939394	72366.85975609756	239170.05478604638
GLUL	-1.0586067536521744	2.949099082283061e-06	199591.11111111112	107123.79268292683	211288.4981911638
SERPINA1	-0.22684317618557678	0.05165555716791357	917837.7121212122	871619.268292683	208205.22184047883
HP	-0.27490158859467817	0.18291215725064996	628450.0656565657	560335.237804878	172761.9214014197
FGA	-0.2915491984925502	0.05210987916031904	491348.9191919192	436438.7073170732	143252.38357058485
APOA1	-0.40046747589551024	0.034756987504935936	321861.1767676768	270787.64634146343	128894.93304891016
CYP3A4	-1.4673185036971716	2.7874816664727544e-05	80076.5	34156.34756097561	117497.73016130656
APOC1	-0.5070147794076444	9.452297526328095e-05	215199.14646464647	171792.13414634147	109109.14777348608
APOE	-0.25736685856202757	0.030607471929457612	328377.29292929295	310146.3780487805	84513.43230431483
AMBP	-0.31582458346897424	0.010286355820885147	260016.21717171717	233852.78658536586	82119.51348343592
FN1	0.505577276501074	1.560293389739424e-07	157994.4595959596	251246.93902439025	79878.40858478424
ADH1B	-0.7150205807285039	0.0007551418658099581	98687.36363636363	68141.74390243902	70563.49605783776
RBP4	-0.29571091370368874	0.029781116390247473	224181.08585858587	204271.93902439025	66292.79373432753
C3	-0.13984494168731032	0.20924339031454278	462913.17171717173	463254.5548780488	64736.06550507575
A2M	-0.4425231755127168	0.008444749950875475	136879.797979798	109455.31097560975	60572.48286555937
APOC2	-0.441551304070123	0.0016276694646082197	136214.9090909091	113653.75	60145.87074288416
VTN	-0.20424131598916093	0.09050595843101546	292488.18686868687	280350.5731707317	59738.172197344225
HPD	-0.8888869420013324	0.0004127597607850341	65451.32323232323	39253.73170731707	58178.82655792056
AHSG	-0.37126799684304873	0.055773723185664835	144360.74242424243	125571.34756097561	53596.52366262381
REG3A	-1.5056983198910883	0.01695451743969469	32967.38383838384	9469.365853658537	49638.93445665916
APOC3	-0.2944356860979681	0.10346357244571885	165654.58080808082	152624.17073170733	48774.620155498575
SERPINC1	-0.3633682658913541	0.049797370609574315	130176.84848484848	113505.5487804878	47302.13569314094
ITIH2	-0.42218202328115656	0.0015826910299917552	108795.72222222222	91646.19512195123	45931.598132112464
FGG	-0.172288366530767	0.2865939441954941	263100.5808080808	252281.81707317074	45329.16930072031
EPHX1	-0.35071647317250976	0.012883506085537264	128672.27777777778	114512.45731707317	45127.48745729573
FGB	-0.15467188653955236	0.3688311028668785	291196.3232323232	284261.1768292683	45039.88466772471
